left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,asymmetry,asymmetry,asymmetry,asymmetry
num_steps,step_duration,stride_duration_asymmetry,step_duration_asymmetry,swing,gait_speed,step_length,swing_asymmetry,stance_asymmetry,double_support_asymmetry,stance,double_support,stride_duration,stride_length,single_limb_support_asymmetry,cadence,single_limb_support,terminal_double_support,initial_double_support_asymmetry,initial_double_support,terminal_double_support_asymmetry,num_steps,step_duration,stride_duration_asymmetry,step_duration_asymmetry,swing,gait_speed,step_length,swing_asymmetry,stance_asymmetry,double_support_asymmetry,stance,double_support,stride_duration,stride_length,single_limb_support_asymmetry,cadence,single_limb_support,terminal_double_support,initial_double_support_asymmetry,initial_double_support,terminal_double_support_asymmetry,stride_duration,cadence,swing,initial_double_support
,3.240000000000002,,,7.4,1.0946299298889373,1.1130624939562637,,,,,,2.0,2.1892598597778745,,18.51851851851851,,,,-5.4399999999999995,,,2.0,,,9.44,0.5473149649444686,1.1130624939562637,,,,,,4.0,2.1892598597778745,,30.0,,,,-5.4,,50.0,38.271604938271636,21.610169491525415,-0.7407407407407249
,0.6800000000000068,,,8.96,1.0874578214499615,1.0761973658216106,,,,,,2.0,2.174915642899923,,88.23529411764618,,,,-7.04,,,0.5199999999999996,,,18.599999999999998,0.22750163628660286,1.0761973658216106,,,,,,9.559999999999999,2.174915642899923,,115.38461538461549,,,,-8.96,,79.07949790794979,23.529411764706715,51.827956989247305,-27.27272727272728
,,,,18.4,0.21741969430339644,1.0987182770783126,,,,,,10.0,2.1741969430339645,,,,,,-8.48,,,0.4799999999999969,,,18.400000000000002,6.039435952872074,1.0987182770783126,,,,,,0.360000000000003,2.1741969430339645,,125.00000000000081,,,,-17.959999999999997,,96.39999999999998,,1.930822651522011e-14,-111.79245283018864
,,,,18.240000000000002,6.757165731208983,1.075478665955652,,,,,,0.3200000000000003,2.1622930339868764,,,,,,-17.88,,,6.159999999999997,,,18.24,4.914302349970199,1.075478665955652,,,,,,0.4399999999999977,2.1622930339868764,,9.740259740259745,,,,-17.840000000000003,,27.272727272726833,,1.947759692324836e-14,-0.22421524663674658
,,,,18.24,3.867412529476817,1.0868143680312243,,,,,,0.5599999999999987,2.1657510165070124,,,,,,-16.32,,,0.4000000000000057,,,16.92,3.867412529476792,1.0868143680312243,,,,,,0.5600000000000023,2.1657510165070124,,149.99999999999787,,,,-17.72,,6.344131569286583e-13,,7.23684210526314,-8.578431372549012
,,,,18.32,4.230804305016466,1.078936648475788,,,,,,0.5199999999999996,2.2000182386085605,,,,,,-13.399999999999999,,,0.3999999999999915,,,13.96,4.230804305016466,1.078936648475788,,,,,,0.5199999999999996,2.2000182386085605,,150.0000000000032,,,,-17.840000000000003,,0.0,,23.799126637554583,-33.13432835820899
,,,,28.6,0.2137989561795223,1.1210815901327722,,,,,,10.600000000000001,2.2662689355029366,,,,,,-13.319999999999999,,,0.3199999999999932,,,17.520000000000003,0.5447761864189752,1.1210815901327722,,,,,,4.16,2.2662689355029366,,187.500000000004,,,,-18.040000000000003,,60.754716981132084,,38.74125874125873,-35.43543543543547
,,,,33.519999999999996,0.38075232903025275,1.1451873453701642,,,,,,6.0,2.2845139741815164,,,,,,-19.72,,,,,,13.72,5.711284935453811,1.1451873453701642,,,,,,0.3999999999999986,2.2845139741815164,,,,,,-21.12,,93.33333333333336,,59.069212410501194,-7.099391480730234
,,,,35.04,0.5626369727830002,1.1393266288113524,,,,,,4.0,2.2505478911320007,,,,,,-25.2,,,,,,19.2,0.3750913151886668,1.1393266288113524,,,,,,6.0,2.2505478911320007,,,,,,-19.04,,33.33333333333333,,45.205479452054796,-32.35294117647059
,,,,33.32,11.087780626879022,1.1112212623206483,,,,,,0.20000000000000284,2.217556125375836,,,,,,-27.880000000000003,,,,,,28.04,0.21826339816691306,1.1112212623206483,,,,,,10.159999999999997,2.217556125375836,,,,,,-23.119999999999997,,98.03149606299209,,15.84633853541417,-20.58823529411767
,,,,30.4,4.615474738692936,1.106334863055188,,,,,,0.4799999999999969,2.215427874572595,,,,,,-27.520000000000003,,,,,,28.04,3.956121204593903,1.106334863055188,,,,,,0.5600000000000023,2.215427874572595,,,,,,-29.879999999999995,,14.285714285715192,,7.763157894736842,-8.575581395348808
,,,,35.24,0.42105559489972744,1.1090930115174071,,,,,,5.32,2.24001576486655,,,,,,-27.560000000000002,,,,,,27.96,6.222266013518205,1.1090930115174071,,,,,,0.35999999999999943,2.24001576486655,,,,,,-29.96,,93.23308270676692,,20.658342792281502,-8.70827285921625
,,,,35.88,1.1423716658111855,1.1309227533491433,,,,,,2.0,2.284743331622371,,,,,,-32.24,,,,,,27.760000000000005,5.1925984809598775,1.1309227533491433,,,,,,0.44000000000000483,2.284743331622371,,,,,,-28.96,,77.99999999999976,,22.63099219620958,-11.325966850828733
,,,,35.599999999999994,3.041894489495236,1.1538205782732276,,,,,,0.759999999999998,2.3118398120163732,,,,,,-33.56,,,,,,27.56,4.816332941700809,1.1538205782732276,,,,,,0.4799999999999969,2.3118398120163732,,,,,,-28.360000000000003,,36.842105263158146,,22.58426966292134,-18.335684062059237
,,,,38.28,0.7163204348426859,1.1580192337431456,,,,,,3.240000000000002,2.3208782088903037,,,,,,-32.8,,,,,,30.04,0.5802195522225759,1.1580192337431456,,,,,,4.0,2.3208782088903037,,,,,,-28.28,,18.99999999999995,,21.525600835945667,-15.983026874115968
,,,,41.4,0.579413028957571,1.1628589751471583,,,,,,4.0,2.317652115830284,,,,,,-30.0,,,,,,30.0,0.38627535263838064,1.1628589751471583,,,,,,6.0,2.317652115830284,,,,,,-31.4,,33.33333333333333,,27.536231884057973,-4.666666666666662
,,,,48.8,0.28484022762328065,1.1547931406831253,,,,,,8.0,2.278721820986245,,,,,,-33.44,,,,,,33.44,0.5696804552465613,1.1547931406831253,,,,,,4.0,2.278721820986245,,,,,,-36.8,,50.0,,31.475409836065577,-10.047846889952151
